train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps
0.0003,284.6,5086,31.38750389,-6.058218479156494,110499,0.009138725697994232,110600,0.21958500146865845,0.5442201495170593,344,21
0.0003,285.62,5137,31.479688239999994,-5.925625324249268,111575,0.009381256066262722,111676,0.37391412258148193,0.3948659300804138,348,21
0.0003,285.55,5193,31.88478996,-5.8255228996276855,112755,0.0092705637216568,112856,0.41621994972229004,-0.27236881852149963,352,21
0.0003,283.83,5248,31.89547713,-5.969020843505859,113936,0.009518839418888092,114037,0.17947396636009216,-0.2562597990036011,356,21
0.0003,280.43,5296,31.467278139999998,-6.011777400970459,114932,0.009162724949419498,115033,0.22791340947151184,-0.08742362260818481,360,21
0.0003,278.55,5337,31.09341997,-5.834238529205322,115816,0.009189769625663757,115917,0.23923537135124207,1.0814998149871826,364,21
0.0003,280.96,5389,31.435817789999998,-6.088817119598389,116909,0.009377275593578815,117010,0.13276328146457672,1.406348705291748,368,21
0.0003,284.26,5455,32.04097585,-6.0898847579956055,118319,0.009382561780512333,118420,0.4576629400253296,-1.288041353225708,372,21
0.0003,284.91,5513,31.980150099999996,-6.037047386169434,119543,0.008912098594009876,119644,0.17384043335914612,0.7605401277542114,376,21
0.0003,283.59,5555,31.628325609999994,-6.228293418884277,120444,0.009100453928112984,120545,0.029119117185473442,0.15777674317359924,380,21
0.0003,278.85,5602,30.958736899999998,-5.826420783996582,121430,0.009026586078107357,121531,0.5162789225578308,0.7492060661315918,384,21
0.0003,279.71,5650,31.282751550000004,-6.258878231048584,122462,0.009034724906086922,122563,0.1993451714515686,-1.0226263999938965,388,21
0.0003,278.97,5698,31.169930239999996,-5.622725009918213,123472,0.009227405302226543,123573,0.22271913290023804,0.0913199782371521,392,21
0.0003,280.27,5762,31.596492259999994,-6.013790130615234,124833,0.009146315976977348,124934,0.6401612758636475,1.0662249326705933,396,21
0.0003,282.3,5823,31.900504029999997,-5.9317731857299805,126123,0.008633936755359173,126224,0.11662336438894272,-0.0699244886636734,400,21
