time/fps,time/total_timesteps,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/n_updates
14,100252,6941,0.011161061935126781,0.0011237920261919498,-3.3648734092712402,258.9,372,0.0003,-1.4423034191131592,7.433876720000001,100151
14,101327,7012,0.0035557029768824577,0.0010723364539444447,-0.1918104588985443,257.04,376,0.0003,-1.4972403049468994,7.38655371,101226
14,102178,7069,0.0015375276561826468,0.001084347371943295,-1.5376391410827637,255.25,380,0.0003,-1.6694997549057007,7.34552264,102077
14,103206,7137,0.004312544129788876,0.0010509779676795006,-0.7798064947128296,256.25,384,0.0003,-1.5934858322143555,7.3487688,103105
14,103934,7186,0.010347632691264153,0.0012939361622557044,-0.19928842782974243,254.7,388,0.0003,-1.5724310874938965,7.31535129,103833
14,105103,7266,0.003855209331959486,0.001139931846410036,0.34859326481819153,257.69,392,0.0003,-1.4514687061309814,7.402445790000002,105002
14,106070,7333,0.007189618423581123,0.001160970306955278,2.0756924152374268,258.5,396,0.0003,-1.4291481971740723,7.43094783,105969
14,107191,7409,0.011698318645358086,0.0011200380977243185,-0.9166712164878845,259.01,400,0.0003,-1.5232876539230347,7.439686679999999,107090
14,108149,7473,0.005699458532035351,0.0011327496031299233,0.010091155767440796,258.86,404,0.0003,-1.5800873041152954,7.4492274400000005,108048
14,109072,7536,0.013206791132688522,0.0012292381143197417,1.282192587852478,256.59,408,0.0003,-1.5424405336380005,7.356648479999999,108971
14,110020,7600,0.011292186565697193,0.0012606396339833736,-1.701656699180603,255.88,412,0.0003,-1.5480093955993652,7.358172209999999,109919
14,111062,7670,0.004217146895825863,0.0011921464465558529,1.1154985427856445,255.36,416,0.0003,-1.524031639099121,7.3729100899999995,110961
14,112355,7756,0.013812558725476265,0.0011201165616512299,1.2810348272323608,258.93,420,0.0003,-1.5616995096206665,7.479589139999999,112254
14,113194,7813,0.010864466428756714,0.0011573079973459244,0.8236004114151001,257.61,424,0.0003,-1.5521541833877563,7.46326429,113093
14,114417,7896,0.010617516934871674,0.0012062778696417809,-1.111090898513794,259.8,428,0.0003,-1.5768333673477173,7.52262261,114316
14,115387,7960,0.010667886584997177,0.00111342070158571,0.6137589812278748,257.88,432,0.0003,-1.5202381610870361,7.470757109999998,115286
14,116130,8010,0.004455102141946554,0.0011258150916546583,0.7836015224456787,255.84,436,0.0003,-1.5469307899475098,7.383518609999999,116029
14,117373,8093,0.0013721915893256664,0.0010472555877640843,-0.8513548374176025,256.31,440,0.0003,-1.4753340482711792,7.422804700000001,117272
14,118312,8156,0.0047630793415009975,0.001121693872846663,0.6409934759140015,254.59,444,0.0003,-1.520620346069336,7.419807210000001,118211
14,119209,8216,0.012392211705446243,0.0011278154561296105,-1.9185806512832642,252.66,448,0.0003,-1.6348532438278198,7.356668410000001,119108
14,120251,8286,0.001847687060944736,0.0010657691163942218,0.9295074939727783,250.36,452,0.0003,-1.594156265258789,7.2498483600000005,120150
14,121379,8362,0.007715793792158365,0.0010565746342763305,0.10807472467422485,249.76,456,0.0003,-1.623575210571289,7.1952038400000005,121278
14,122182,8416,0.004288934636861086,0.0010851133847609162,1.427823781967163,246.7,460,0.0003,-1.5692263841629028,7.10288666,122081
14,122914,8465,0.009521078318357468,0.00107438990380615,-3.3682572841644287,244.02,464,0.0003,-1.6401824951171875,7.02722413,122813
14,123941,8534,0.00147437141276896,0.0010724285384640098,-0.77294921875,246.1,468,0.0003,-1.5931075811386108,7.11183342,123840
