time/total_timesteps,train/actor_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates
109799,-12.26314926147461,305.1,0.01541612297296524,4558,0.0003,0.5681053400039673,0.08669166266918182,24,336,60.38761079,109698
111086,-11.737584114074707,305.46,0.015459355898201466,4614,0.0003,0.18733783066272736,0.754629909992218,24,340,60.465382039999994,110985
112432,-11.751660346984863,306.63,0.015926817432045937,4673,0.0003,0.7182624340057373,-0.3108944296836853,24,344,61.23941693,112331
114195,-12.03606128692627,313.47,0.015723319724202156,4749,0.0003,0.5591382384300232,-0.009790748357772827,24,348,62.640641210000005,114094
115359,-11.739959716796875,314.37,0.016081657260656357,4800,0.0003,1.3050146102905273,-0.018398776650428772,24,352,62.10469873000001,115258
116630,-12.022758483886719,316.48,0.01625358872115612,4855,0.0003,1.4000108242034912,0.19367146492004395,24,356,62.629664729999995,116529
117800,-12.203216552734375,316.46,0.015735898166894913,4907,0.0003,0.29942458868026733,-0.9284474849700928,24,360,62.82288501,117699
118940,-12.10476016998291,317.64,0.015797758474946022,4957,0.0003,0.718519926071167,-1.1867161989212036,23,364,63.03842621,118839
120314,-11.844513893127441,317.82,0.015818940475583076,5016,0.0003,0.4641258716583252,-0.6866539716720581,23,368,62.78963468,120213
121907,-11.551841735839844,319.56,0.01580800674855709,5086,0.0003,2.0801916122436523,-0.5631920099258423,23,372,62.322746120000005,121806
123435,-11.26432991027832,324.24,0.015291471965610981,5153,0.0003,1.0886120796203613,-0.07322032004594803,23,376,62.82070438999999,123334
125008,-11.67971134185791,327.3,0.015536181628704071,5221,0.0003,1.4733456373214722,-0.18280857801437378,23,380,62.80452606,124907
126087,-11.92798137664795,324.65,0.01492215320467949,5268,0.0003,0.9278839826583862,0.005647093057632446,23,384,62.30956032,125986
127220,-11.758622169494629,321.71,0.01568014919757843,5317,0.0003,0.5383976697921753,0.4500289559364319,23,388,61.272330419999996,127119
128612,-11.93576717376709,321.74,0.015159000642597675,5378,0.0003,0.4807543456554413,0.2564643621444702,23,392,61.38300122999999,128511
130127,-11.22490406036377,325.08,0.01631639525294304,5444,0.0003,1.3920834064483643,0.022536545991897583,23,396,61.75068936,130026
131367,-11.796278953552246,326.54,0.015559743158519268,5498,0.0003,0.34858402609825134,0.07494118809700012,23,400,62.23809557,131266
