time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,train/learning_rate
74529,1512,74428,0.08250369876623154,0.5525213479995728,49,528,145.44,-49.118247985839844,210.35436811,45.110443115234375,0.0003
75169,1526,75068,0.08097968250513077,1.1283059120178223,49,532,147.9,-47.113529205322266,212.91283648999996,14.428024291992188,0.0003
75777,1539,75676,0.08114038407802582,0.15732628107070923,49,536,148.67,-50.040164947509766,211.56171440999998,16.962533950805664,0.0003
76524,1555,76423,0.08382834494113922,0.29312267899513245,49,540,150.41,-52.30100631713867,214.84697314999997,25.12371826171875,0.0003
77001,1565,76900,0.08008316159248352,1.2692500352859497,49,544,148.42,-47.29873275756836,213.73447702,23.68263816833496,0.0003
77642,1579,77541,0.08634073287248611,-0.4346086382865906,49,548,148.82,-46.77716064453125,212.50553108000003,16.791797637939453,0.0003
78234,1591,78133,0.08342668414115906,-0.3472014367580414,49,552,149.72,-49.749019622802734,213.23047951,15.57339096069336,0.0003
78707,1601,78606,0.08234982192516327,-0.4681795835494995,49,556,148.75,-48.26972579956055,210.67525221999998,27.4010009765625,0.0003
79224,1612,79123,0.0800904929637909,-0.5140711069107056,49,560,149.17,-50.41670227050781,210.69747349000002,8.866639137268066,0.0003
79787,1624,79686,0.07829640060663223,-0.457740843296051,49,564,148.66,-49.81653594970703,210.7216057,14.067041397094727,0.0003
80313,1636,80212,0.07868514209985733,-0.824255108833313,49,568,146.08,-46.81500244140625,209.87497992999997,13.147581100463867,0.0003
81022,1651,80921,0.07943885028362274,-0.5460070967674255,49,572,148.35,-52.45056915283203,215.96010644,13.172731399536133,0.0003
81633,1664,81532,0.08022493869066238,0.07701122015714645,49,576,149.13,-51.99130630493164,216.47029722,34.65699005126953,0.0003
82357,1679,82256,0.0808960497379303,0.7412578463554382,49,580,149.84,-49.878787994384766,215.21808108000005,40.44456100463867,0.0003
83017,1694,82916,0.08013889193534851,-0.6727436184883118,49,584,150.95,-47.803314208984375,215.49339387999993,17.147335052490234,0.0003
83539,1705,83438,0.08076812326908112,0.5655063390731812,48,588,151.25,-51.68470001220703,215.21235192999995,39.51393127441406,0.0003
84153,1718,84052,0.07981643080711365,-0.412540465593338,48,592,150.57,-50.37141418457031,211.25327108000002,16.703346252441406,0.0003
84786,1732,84685,0.07913650572299957,-0.7947298288345337,48,596,150.92,-51.86434555053711,212.14085054999998,23.830795288085938,0.0003
85422,1745,85321,0.07798551768064499,0.03463699668645859,48,600,151.2,-49.8563232421875,219.92343638,14.874651908874512,0.0003
85859,1755,85758,0.07803840190172195,1.9352011680603027,48,604,149.43,-49.43202209472656,216.54938163999998,20.913272857666016,0.0003
86386,1766,86285,0.07938725501298904,0.09700704365968704,48,608,148.67,-52.152687072753906,215.38527528000003,36.19511413574219,0.0003
86853,1776,86752,0.08166860044002533,0.6080554723739624,48,612,147.31,-50.904571533203125,214.79445956,24.205949783325195,0.0003
87412,1788,87311,0.07929201424121857,0.3493078052997589,48,616,147.64,-51.21361541748047,214.37524417,18.464204788208008,0.0003
87910,1798,87809,0.07755281776189804,0.30763840675354004,48,620,147.41,-51.803653717041016,213.47338416,25.19830322265625,0.0003
