train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/n_updates
-1.5687897205352783,3.8688859939575195,283.49,0.0003,13298,0.002480548107996583,8.145632860000001,10,134629,460,0.0012160246260464191,134528
-1.6222522258758545,1.3994394540786743,282.35,0.0003,13400,0.004289811011403799,8.12129408,10,135767,464,0.0012130681425333023,135666
-1.6656925678253174,-0.31699249148368835,285.54,0.0003,13507,0.004116960801184177,8.18335913,10,136961,468,0.001290031592361629,136860
-1.5565900802612305,-0.21250306069850922,287.1,0.0003,13624,0.0035670825745910406,8.227300759999999,10,138274,472,0.0012418411206454039,138173
-1.5412486791610718,-0.15995225310325623,286.06,0.0003,13715,0.006131561007350683,8.19911519,10,139286,476,0.001238858443684876,139185
-1.5967466831207275,-0.7968318462371826,285.39,0.0003,13820,0.0058844261802732944,8.176237850000001,10,140459,480,0.001230875146575272,140358
-1.591477394104004,-1.210423231124878,283.95,0.0003,13900,0.011972094886004925,8.13980325,10,141344,484,0.0011368095874786377,141243
-1.5564520359039307,2.3893847465515137,284.76,0.0003,14012,0.010396874509751797,8.193425040000001,10,142587,488,0.0012541749747470021,142486
-1.5090034008026123,-1.4087798595428467,280.94,0.0003,14103,0.0030160739552229643,8.110016450000002,10,143594,492,0.0012829444603994489,143493
-1.544878363609314,0.7362561225891113,279.04,0.0003,14206,0.004637839738279581,8.043656310000001,10,144751,496,0.0012421745341271162,144650
-1.5492794513702393,-1.7942969799041748,279.38,0.0003,14301,0.022137776017189026,8.01076476,10,145802,500,0.0012608157703652978,145701
-1.6875760555267334,-2.0439274311065674,280.76,0.0003,14411,0.019776688888669014,8.0669199,10,147031,504,0.0012473854003474116,146930
-1.4917590618133545,1.4610990285873413,282.31,0.0003,14508,0.001935571781359613,8.1718386,10,148141,508,0.001267998362891376,148040
-1.6122004985809326,1.1565556526184082,283.63,0.0003,14605,0.019373126327991486,8.22238705,10,149219,512,0.001273085013963282,149118
-1.6032875776290894,0.1959342360496521,282.64,0.0003,14690,0.014165835455060005,8.22484117,10,150163,516,0.0012572335544973612,150062
-1.504689335823059,0.6382042765617371,283.46,0.0003,14778,0.011322281323373318,8.288118189999999,10,151144,520,0.0012702689273282886,151043
-1.5725202560424805,1.4588346481323242,283.47,0.0003,14872,0.004551995545625687,8.27790884,10,152186,524,0.0012486238265410066,152085
-1.6861556768417358,-2.988590717315674,284.89,0.0003,14980,0.0015135658904910088,8.34410086,10,153387,528,0.0013515857281163335,153286
-1.6155500411987305,0.7045376896858215,284.67,0.0003,15083,0.017587486654520035,8.339875409999998,10,154544,532,0.0012897425331175327,154443
-1.5954267978668213,-0.32682347297668457,285.98,0.0003,15177,0.007877355441451073,8.40500115,10,155596,536,0.0012618021573871374,155495
-1.6049329042434692,0.19912199676036835,283.76,0.0003,15277,0.004608501680195332,8.37126529,10,156706,540,0.0012143176281824708,156605
-1.513321042060852,2.541173219680786,283.49,0.0003,15413,0.009013673290610313,8.287353029999998,10,158236,544,0.0012963521294295788,158135
-1.5797148942947388,0.5215907692909241,285.76,0.0003,15535,0.007895362563431263,8.31394046,10,159591,548,0.001310423482209444,159490
-1.570802092552185,2.281815767288208,285.78,0.0003,15629,0.011250540614128113,8.3328964,10,160664,552,0.0013011181727051735,160563
-1.6827491521835327,-0.5079349279403687,287.83,0.0003,15736,0.023737195879220963,8.41928191,10,161879,556,0.0012294615153223276,161778
-1.6099826097488403,-2.3559834957122803,280.69,0.0003,15808,0.013117076829075813,8.21046621,10,162698,560,0.001262456993572414,162597
-1.6282166242599487,-0.2867301106452942,282.33,0.0003,15922,0.00789252296090126,8.271099839999998,10,164000,564,0.0012880063150078058,163899
-1.5427565574645996,-0.9272078275680542,280.6,0.0003,16013,0.0038211194332689047,8.26255492,10,165021,568,0.0013243842404335737,164920
-1.634216070175171,0.39072203636169434,276.81,0.0003,16097,0.010612927377223969,8.09631963,10,165955,572,0.0012331628240644932,165854
-1.6773719787597656,-0.8027526140213013,276.3,0.0003,16182,0.009191432036459446,8.051136790000001,10,166916,576,0.0013455564621835947,166815
-1.7472422122955322,-2.7256240844726562,273.66,0.0003,16264,0.011033827438950539,7.968358939999999,10,167825,580,0.0013360310113057494,167724
-1.6510179042816162,-2.209855079650879,274.08,0.0003,16347,0.009371538646519184,7.9549972,10,168752,584,0.0013558201026171446,168651
-1.5832053422927856,-0.13702702522277832,273.95,0.0003,16459,0.003758971579372883,7.929539810000001,10,169982,588,0.001357794040814042,169881
-1.610142707824707,-1.3982093334197998,276.12,0.0003,16568,0.0031771801877766848,7.964116799999998,10,171206,592,0.0013680538395419717,171105
-1.5846458673477173,-1.5685069561004639,276.24,0.0003,16673,0.014222336001694202,7.972294239999999,10,172375,596,0.0013545070542022586,172274
-1.527388334274292,0.5079701542854309,276.77,0.0003,16772,0.0057174814864993095,7.9864451800000005,10,173479,600,0.001280538272112608,173378
-1.5549300909042358,-0.2667144238948822,275.01,0.0003,16866,0.005159408785402775,7.912679389999999,10,174532,604,0.0013272417709231377,174431
-1.5982625484466553,0.7714906930923462,272.51,0.0003,16944,0.006784234195947647,7.8016582099999985,10,175392,608,0.0013323664898052812,175291
-1.5772064924240112,1.3792681694030762,275.06,0.0003,17063,0.009184480644762516,7.87563827,10,176725,612,0.0012952325632795691,176624
-1.5027272701263428,1.7765021324157715,277.4,0.0003,17169,0.014333844184875488,7.956843770000002,10,177903,616,0.0013578218640759587,177802
-1.567617654800415,0.8504908084869385,275.72,0.0003,17242,0.00785050168633461,7.8831966000000016,10,178716,620,0.0013011994305998087,178615
-1.6278725862503052,-2.70237135887146,276.61,0.0003,17344,0.009526178240776062,7.89381598,10,179847,624,0.001277912873774767,179746
-1.5082206726074219,1.209543228149414,275.12,0.0003,17438,0.005607324652373791,7.844455669999999,10,180899,628,0.0012617516331374645,180798
-1.5448328256607056,2.1090149879455566,275.5,0.0003,17545,0.013077536597847939,7.836594669999999,10,182094,632,0.0012463330058380961,181993
-1.489335298538208,-0.3022913932800293,275.09,0.0003,17636,0.015785612165927887,7.829170329999999,10,183105,636,0.0012388714822009206,183004
-1.5565639734268188,-0.14238691329956055,275.33,0.0003,17739,0.00932898186147213,7.799820479999999,10,184239,640,0.00128692458383739,184138
-1.5581130981445312,-1.720271110534668,269.18,0.0003,17821,0.014881642535328865,7.683533399999999,10,185154,644,0.0013002058258280158,185053
-1.5583993196487427,1.0244216918945312,266.37,0.0003,17918,0.004295347258448601,7.64096794,10,186228,648,0.00129990023560822,186127
-1.5461719036102295,2.76061749458313,267.93,0.0003,18028,0.005741015076637268,7.7584094100000005,10,187457,652,0.0013051864225417376,187356
-1.4203177690505981,0.7233080267906189,265.22,0.0003,18112,0.018082119524478912,7.675597409999999,10,188401,656,0.0012603583745658398,188300
-1.6079446077346802,0.12020543217658997,264.91,0.0003,18183,0.009471960365772247,7.642244380000001,10,189189,660,0.001271938788704574,189088
-1.557348370552063,1.3503024578094482,260.59,0.0003,18260,0.009628199972212315,7.482626349999999,10,190059,664,0.0012909687357023358,189958
-1.4709665775299072,-2.005683422088623,261.57,0.0003,18358,0.004847395233809948,7.52982652,10,191178,668,0.0012009060010313988,191077
-1.5869930982589722,-0.9337436556816101,262.56,0.0003,18450,0.011649046093225479,7.6183777899999985,10,192211,672,0.0011994238011538982,192110
-1.5879024267196655,-0.9082140922546387,261.8,0.0003,18530,0.0037143649533391,7.651580799999998,10,193096,676,0.0011710041435435414,192995
-1.622372031211853,-1.6357601881027222,265.53,0.0003,18645,0.004976380616426468,7.780494100000001,10,194378,680,0.0011814587051048875,194277
-1.5584391355514526,1.2667990922927856,265.83,0.0003,18732,0.0038184039294719696,7.8176461800000006,10,195335,684,0.0011684763012453914,195234
-1.6089650392532349,1.6444766521453857,265.68,0.0003,18841,0.016895653679966927,7.74786983,10,196550,688,0.0012651036959141493,196449
-1.577708125114441,2.8706114292144775,262.83,0.0003,18926,0.00969269871711731,7.669455,10,197489,692,0.0012428304180502892,197388
-1.5298181772232056,-0.9720860123634338,260.19,0.0003,19007,0.011232409626245499,7.54656259,10,198394,696,0.0011639780132099986,198293
-1.466805338859558,-1.1070812940597534,261.79,0.0003,19122,0.007736856117844582,7.641092269999999,10,199658,700,0.0010428493842482567,199557
-1.5855244398117065,-1.5098788738250732,261.55,0.0003,19215,0.00986043643206358,7.62266875,10,200687,704,0.0011040446115657687,200586
-1.681555151939392,-1.1315052509307861,264.16,0.0003,19316,0.006508569233119488,7.724997400000002,10,201808,708,0.0011816672049462795,201707
-1.5295052528381348,2.7330899238586426,258.46,0.0003,19385,0.009771046228706837,7.535878729999999,10,202571,712,0.001171449781395495,202470
-1.4579001665115356,1.249282717704773,258.9,0.0003,19496,0.007110933773219585,7.56607366,10,203793,716,0.0011792388977482915,203692
-1.552970290184021,-2.0187766551971436,261.31,0.0003,19591,0.02002783678472042,7.636017530000001,10,204847,720,0.001164640299975872,204746
-1.494795322418213,-1.235410451889038,259.22,0.0003,19674,0.010059718042612076,7.5785047500000005,10,205769,724,0.0011566856410354376,205668
-1.6147048473358154,1.1019476652145386,259.23,0.0003,19769,0.02910492941737175,7.604658990000002,10,206822,728,0.0011336547322571278,206721
