train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/critic_loss,time/time_elapsed
0.0003,94429,288,309.03,37.65709806,94328,19,0.009115620516240597,-6.912672996520996,1.1713166236877441,0.3325018882751465,4932
0.0003,95653,292,309.46,37.82587249000001,95552,19,0.00923965871334076,-7.2507100105285645,-1.1156208515167236,0.23597781360149384,4999
0.0003,96913,296,309.92,38.127408560000006,96812,19,0.009087701328098774,-7.022024154663086,0.9501307010650635,0.0410110279917717,5068
0.0003,98127,300,310.21,38.42998418,98026,19,0.009519052691757679,-6.565884590148926,-0.7607390880584717,0.24666041135787964,5134
0.0003,99317,304,310.67,38.78290657,99216,19,0.009254482574760914,-6.744358062744141,0.7533335089683533,0.2669057250022888,5200
0.0003,100265,308,307.35,38.42407306,100164,19,0.009076839312911034,-6.865987777709961,1.5124608278274536,0.408993661403656,5251
0.0003,101784,312,309.72,39.300561300000005,101683,19,0.009246710687875748,-6.653181076049805,1.4922926425933838,0.23258595168590546,5334
0.0003,103210,316,313.07,40.09674078,103109,19,0.00891930516809225,-6.792469024658203,0.3820372223854065,0.10166047513484955,5413
0.0003,104410,320,310.99,39.88688402,104309,19,0.008728120476007462,-6.635985374450684,1.2420547008514404,0.20828291773796082,5478
0.0003,105795,324,313.32,40.09187748,105694,19,0.00930312555283308,-6.938998699188232,-0.8614851236343384,0.22548550367355347,5554
0.0003,106767,328,311.66,39.67001268999999,106666,19,0.009260738268494606,-7.085291862487793,0.2069610357284546,0.058508507907390594,5608
0.0003,108029,332,313.65,39.92455518,107928,19,0.00888910423964262,-6.632082462310791,-1.0125981569290161,0.10131516307592392,5677
0.0003,109418,336,315.31,40.12816034,109317,19,0.009425920434296131,-6.972362518310547,-1.1522175073623657,0.10416470468044281,5752
0.0003,110639,340,312.48,39.657637629999996,110538,19,0.009169341996312141,-6.937991142272949,0.34266144037246704,0.35916829109191895,5819
0.0003,112032,344,310.29,39.40370366,111931,19,0.00923675112426281,-6.687510967254639,-1.133791446685791,0.11095456779003143,5895
0.0003,113187,348,309.55,39.506765429999994,113086,18,0.009279095567762852,-6.527690887451172,2.5463414192199707,0.19087697565555573,5959
0.0003,114389,352,311.01,39.92622541,114288,18,0.00903257541358471,-6.943383693695068,-1.2094961404800415,0.07923038303852081,6025
