time/total_timesteps,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate,time/time_elapsed
126956,126855,0.008149764500558376,0.7808514833450317,302.89,18,37.015225910000005,-5.931093215942383,392,0.09119975566864014,0.0003,6883
128324,128223,0.008034780621528625,0.11362148821353912,301.32,18,37.04855115,-6.438042163848877,396,0.1525907963514328,0.0003,6959
129449,129348,0.008193323388695717,2.0395755767822266,298.83,18,36.637060070000004,-6.05380392074585,400,0.23456156253814697,0.0003,7021
130413,130312,0.007620824966579676,-0.8796373009681702,294.42,18,36.04773983,-6.39091157913208,404,0.15372556447982788,0.0003,7075
131620,131519,0.007916605100035667,0.03326312452554703,297.64,18,36.51672277000001,-6.246917724609375,408,0.1615920066833496,0.0003,7141
132632,132531,0.008336015976965427,1.9957692623138428,298.44,18,36.65648756,-6.621433734893799,412,0.4870113134384155,0.0003,7198
133814,133713,0.008022571913897991,-0.4433763921260834,296.69,18,36.463687699999994,-6.458779335021973,416,0.08669242262840271,0.0003,7263
134627,134526,0.00793156772851944,1.780306339263916,293.18,18,36.080277730000006,-6.243992805480957,420,0.16402491927146912,0.0003,7308
135890,135789,0.007901625707745552,-0.26707062125205994,292.52,18,36.270171850000004,-6.250768661499023,424,0.19920587539672852,0.0003,7378
137188,137087,0.008153305388987064,0.13029147684574127,294.16,18,36.63731189,-6.293837070465088,428,0.3249117136001587,0.0003,7449
138388,138287,0.008493026718497276,-0.6767797470092773,291.64,18,36.32374834,-6.278507709503174,432,0.4748411178588867,0.0003,7515
139550,139449,0.008331593126058578,0.45840054750442505,289.0,18,36.32870289,-6.364500522613525,436,0.09425227344036102,0.0003,7579
140777,140676,0.00824680645018816,-0.9561092853546143,289.76,18,36.40386355,-6.432549953460693,440,0.036777012050151825,0.0003,7647
141849,141748,0.008420582860708237,-0.04691720008850098,288.9,18,36.267323749999996,-6.321979522705078,444,0.10331171005964279,0.0003,7705
143068,142967,0.00831671990454197,-0.9259420037269592,289.31,18,36.07782569,-6.504040718078613,448,0.323294997215271,0.0003,7773
144546,144445,0.008297587744891644,-1.1666903495788574,291.49,18,36.33567340999999,-6.364380359649658,452,0.4015308618545532,0.0003,7855
145793,145692,0.00845771748572588,-0.09267695248126984,290.84,18,36.027333219999996,-5.9923248291015625,456,0.3048687279224396,0.0003,7924
146652,146551,0.008358950726687908,0.34852272272109985,285.52,18,35.36510963999999,-6.213047027587891,460,0.5454028248786926,0.0003,7971
148075,147974,0.008492382243275642,-0.015795767307281494,288.7,18,35.740866409999995,-6.118713855743408,464,0.10580357909202576,0.0003,8049
149449,149348,0.007984290830790997,0.09209749847650528,291.93,18,36.10868763,-6.5126848220825195,468,0.12227407097816467,0.0003,8125
150814,150713,0.008483171463012695,0.5925664305686951,294.02,18,36.257319730000006,-6.55710506439209,472,0.06574273109436035,0.0003,8201
