train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss,rollout/ep_len_mean
-11.03644847869873,52.48004602,-1.014474868774414,95158,23,95057,4047,276,0.0003,0.011546258814632893,0.13400784134864807,324.43
-10.179512977600098,52.51887603999999,-0.03477202355861664,96446,23,96345,4105,280,0.0003,0.011289519257843494,0.5543042421340942,324.46
-10.615887641906738,51.83685707000001,-1.1999393701553345,97549,23,97448,4154,284,0.0003,0.011230463162064552,0.42671436071395874,321.55
-10.329071044921875,51.55657771,0.23692700266838074,99000,23,98899,4219,288,0.0003,0.011328312568366528,1.129744291305542,319.39
-10.54576587677002,51.13072526999999,-0.309028297662735,100723,23,100622,4297,292,0.0003,0.011490894481539726,0.8638666868209839,320.9
-10.213826179504395,51.07800796000001,0.22773689031600952,101918,23,101817,4350,296,0.0003,0.011387144215404987,0.7076433897018433,319.51
-10.158727645874023,50.18057806000001,0.8731881380081177,102895,23,102794,4395,300,0.0003,0.011000283062458038,1.1378213167190552,315.52
-9.928412437438965,49.17430586999999,0.09924342483282089,104029,23,103928,4445,304,0.0003,0.01195596344769001,0.3107081651687622,312.39
-10.02128791809082,49.5187314,-0.8759583234786987,105297,23,105196,4502,308,0.0003,0.011339861899614334,0.4993853271007538,315.19
-10.756521224975586,49.91146208999999,-1.3758103847503662,106640,23,106539,4561,312,0.0003,0.010922440327703953,0.540908694267273,317.8
-10.309660911560059,50.08391676,-1.0969773530960083,108067,23,107966,4625,316,0.0003,0.011462394148111343,0.2697211802005768,316.98
-10.079283714294434,50.180084349999994,-0.35902833938598633,109296,23,109195,4680,320,0.0003,0.01125409360975027,0.16287770867347717,317.5
-10.131752967834473,49.91843216,0.3245967626571655,110669,23,110568,4742,324,0.0003,0.011226399801671505,0.8914083242416382,317.15
-10.064530372619629,49.91230203999999,0.09030812978744507,111958,23,111857,4800,328,0.0003,0.011702371761202812,0.5701478719711304,315.43
-10.160687446594238,50.561452329999995,-1.7004679441452026,113493,23,113392,4868,332,0.0003,0.011300064623355865,0.4409775733947754,320.23
-10.285383224487305,51.56458320000001,-1.264976143836975,115055,23,114954,4939,336,0.0003,0.011502795852720737,0.16664248704910278,324.33
-10.695296287536621,51.32037249999999,0.3283008933067322,116572,23,116471,5007,340,0.0003,0.011820831336081028,0.1583707630634308,326.68
-9.568865776062012,51.707309290000005,0.7724388837814331,118063,23,117962,5074,344,0.0003,0.010976688005030155,0.5297549962997437,326.76
-9.850942611694336,51.50606688,1.258606195449829,119147,23,119046,5123,348,0.0003,0.011530017480254173,0.8179004192352295,325.2
-10.364686012268066,51.01117129,1.2831499576568604,120291,23,120190,5175,352,0.0003,0.010760864242911339,0.3103509843349457,321.45
-10.27936840057373,52.15313637,0.553770899772644,121890,23,121789,5246,356,0.0003,0.010562587529420853,0.4484362006187439,325.43
-10.214753150939941,52.422595479999984,0.8115553259849548,123108,23,123007,5301,360,0.0003,0.011286246590316296,0.25299060344696045,327.34
-10.378969192504883,53.51955745,0.5600508451461792,124733,23,124632,5374,364,0.0003,0.010745728388428688,0.1506531834602356,333.26
-10.093332290649414,53.784891349999995,0.5087729692459106,125799,23,125698,5422,368,0.0003,0.010685598477721214,0.24324406683444977,334.57
-9.5357666015625,53.74395342,1.0823029279708862,127035,23,126934,5478,372,0.0003,0.01062538381665945,0.8467587232589722,336.83
-9.78290843963623,52.94786425999999,2.0707197189331055,128331,23,128230,5536,376,0.0003,0.010823322460055351,2.537728786468506,331.73
-9.492424011230469,54.02765762,2.0768489837646484,129924,23,129823,5608,380,0.0003,0.010814005509018898,0.6750390529632568,334.78
-10.270575523376465,54.953151309999996,-2.075894355773926,131341,23,131240,5672,384,0.0003,0.011019649915397167,0.18327488005161285,337.92
-9.794111251831055,54.59574495,1.0542575120925903,132529,23,132428,5726,388,0.0003,0.010294916108250618,0.26019713282585144,335.29
-9.747756958007812,54.195287179999994,1.9021921157836914,133822,23,133721,5785,392,0.0003,0.01177981123328209,1.1061394214630127,330.99
-10.226461410522461,54.13241172,0.09468580037355423,135114,23,135013,5847,396,0.0003,0.010302969254553318,0.34424877166748047,331.96
-10.075531005859375,54.73359492,0.058525726199150085,136397,23,136296,5907,400,0.0003,0.010142028331756592,0.5632034540176392,335.02
-10.23520278930664,55.45006907,0.8356944918632507,137889,23,137788,5978,404,0.0003,0.010490038432180882,0.6371976137161255,338.6
-10.34814167022705,55.142187899999996,-1.0931017398834229,138853,23,138752,6021,408,0.0003,0.011048451066017151,0.6105726957321167,335.56
-9.87421703338623,55.87738705000001,-0.5189187526702881,140375,23,140274,6089,412,0.0003,0.010300606489181519,0.6265996694564819,337.35
-10.091096878051758,55.82396121,1.1815314292907715,141728,23,141627,6142,416,0.0003,0.01015077531337738,0.38371244072914124,336.61
-10.417298316955566,56.07605964,-0.24576400220394135,143175,23,143074,6196,420,0.0003,0.010765884071588516,0.8064911365509033,338.79
-9.726305961608887,56.01331923000001,-0.4564298987388611,144487,23,144386,6244,424,0.0003,0.011665601283311844,0.23560483753681183,338.18
-9.671189308166504,55.395521269999996,0.8083063364028931,145786,23,145685,6291,428,0.0003,0.011555627919733524,0.17022651433944702,338.28
-10.148332595825195,55.55889003,1.8140151500701904,147261,23,147160,6345,432,0.0003,0.010867533273994923,0.48088741302490234,337.68
-10.410426139831543,54.81644573,-0.5511975884437561,148724,23,148623,6399,436,0.0003,0.011040093377232552,0.4461396336555481,336.69
-9.846487045288086,54.82532975,0.3419492244720459,150272,23,150171,6457,440,0.0003,0.010872571729123592,0.900745153427124,337.0
-10.086542129516602,54.17826199,-1.1849404573440552,151854,23,151753,6528,444,0.0003,0.0107577508315444,0.8729375600814819,337.91
-9.778282165527344,54.339751250000006,-0.5510321855545044,153101,23,153000,6584,448,0.0003,0.011008731089532375,0.765816330909729,339.54
-9.814019203186035,55.36931399,1.9227509498596191,154605,23,154504,6651,452,0.0003,0.010550622828304768,0.18670205771923065,343.14
-10.529502868652344,54.12853469999999,-0.20977981388568878,155800,23,155699,6704,456,0.0003,0.009944554418325424,0.6386699676513672,339.1
-9.659428596496582,53.397342529999996,1.30433988571167,156633,23,156532,6742,460,0.0003,0.010731973685324192,0.740181028842926,335.25
-10.311558723449707,53.27866705,-0.6727793216705322,158117,23,158016,6808,464,0.0003,0.010335219092667103,0.8478580713272095,333.84
-10.102910995483398,53.35042311,0.48224544525146484,159062,23,158961,6850,468,0.0003,0.01036150474101305,0.5463190674781799,332.63
-10.064123153686523,53.56255613999999,0.8025979995727539,160390,23,160289,6910,472,0.0003,0.010764081962406635,0.706119179725647,333.55
-10.42840576171875,53.62142696999999,1.4572936296463013,161704,23,161603,6969,476,0.0003,0.010131224989891052,0.40832191705703735,333.73
